10;8;2.0
20;8;2.7
6;9;4.2
7;9;4.5
8;9;4.7
9;9;4.0
11;9;5.5
2;10;0.3
3;10;0.5
5;10;0.3
10;10;0.5
14;10;0.5
20;10;1.0
1;4;0.5
2;4;0.3
3;4;0.5
4;4;0.5
5;4;0.5
6;4;0.5
7;4;0.5
8;4;0.5
9;4;0.3
10;4;0.6
11;4;1.0
12;4;0.8
13;4;2.0
14;4;0.5
15;4;0.3
16;4;1.5
17;4;1.0
18;4;0.5
19;4;0.4
20;4;0.5
1;6;0.3
2;6;0.4
5;6;0.5
6;6;0.5
7;6;1.0
8;6;0.5
9;6;0.5
10;6;0.4
13;6;1.5
15;6;1.0
17;6;2.5
18;6;1.0
19;6;0.4
20;6;0.5
1;1;1.0
2;1;1.0
5;1;1.5
8;1;0.5
14;1;2.0
15;1;1.0
20;1;1.0
1;3;1.0
2;3;1.0
3;3;1.0
4;3;1.0
5;3;1.0
6;3;1.0
7;3;1.0
8;3;0.5
9;3;0.7
10;3;1.0
11;3;1.0
12;3;1.1
13;3;2.0
14;3;1.0
15;3;1.0
16;3;1.0
17;3;1.0
18;3;1.0
19;3;1.0
20;3;0.6
1;2;0.4
2;2;1.0
5;2;0.5
8;2;0.5
14;2;1.0
15;2;0.7
20;2;0.4
2;11;1.0
3;11;1.0
5;11;0.5
6;11;0.5
7;11;0.3
12;11;0.8
13;11;0.3
14;11;1.5
15;11;0.3
16;11;2.0
18;11;0.3
20;11;1.0
1;7;1.5
2;7;1.0
5;7;1.0
7;7;0.5
8;7;0.5
9;7;1.0
15;7;0.5
16;7;1.0
17;7;3.0
18;7;2.0
19;7;2.0
1;5;2.0
2;5;2.0
5;5;2.0
6;5;2.0
7;5;2.0
15;5;2.0
18;5;2.0
19;5;2.0
1;12;0.3
4;12;0.5
5;12;0.2
6;12;0.3
7;12;0.2
8;12;0.3
9;12;0.5
10;12;0.5
11;12;0.5
12;12;0.3
13;12;0.2
14;12;0.5
15;12;0.2
16;12;0.5
17;12;0.5
18;12;0.2
19;12;0.2
20;12;0.3
